bw,delay,loss,queue,packet_loss_ratio,rtt,jitter,throughput
20,37.507304814290805,2,200,0,168.88,76.39484275787207,21.0
50,34.38881267019531,1,50,0,91.78,27.407699648091594,52.4
20,41.95203046675743,2,50,20,120.425,41.19857400444826,21.0
5,32.59936352767414,0,200,0,97.08,32.110076300127346,5.25
50,22.888647679062707,1,50,0,60.16,20.36413513999551,52.4
10,23.620176349000797,5,200,0,81.6,24.181087651303034,10.5
20,48.925467966578715,2,100,0,123.78,46.17685567467755,21.0
50,41.52335753616891,2,50,0,182.86,98.5548984069285,52.4
10,12.953126423617883,1,100,0,69.6,55.82315827682988,10.5
20,7.123194740562999,0,200,0,41.8,35.258828681622425,20.9
5,20.92683196355955,1,50,0,63.06,23.538649069137335,5.21
50,45.005252755777235,1,100,0,119.6,42.226709556866965,52.4
5,13.174107582930786,2,200,0,262.52,480.64602047660816,5.25
50,36.35058124650671,2,100,0,112.24,37.798320068489815,52.4
5,12.257405735568883,2,200,0,44.1,15.961202962183018,5.24
20,30.117916559205426,1,200,0,82.68,28.457635179332804,21.0
50,23.37840321901808,0,50,0,68.06,18.699278060930588,52.4
5,7.406520492898901,5,100,20,40.225,8.152453618389988,5.25
20,32.58783298229665,5,50,20,92.15,33.41302141381411,21.0
5,38.237469103277434,0,100,0,102.66,31.28846432792763,5.25
5,40.445813858933406,0,50,0,102.38,37.822242133432546,5.25
10,40.39138807124614,2,50,0,120.94,29.443471262743458,10.5
20,17.700380588035408,2,200,20,59.5,21.762659151246506,21.0
50,13.031624671856747,5,100,20,48.5,13.707175736331198,46.3
20,30.59125268670874,1,100,0,117.22,34.190525003281245,21.0
5,40.75464629332462,2,100,0,212.0,80.47359815492284,5.25
20,28.857495090097366,5,200,0,79.26,23.104718132883594,21.0
20,7.108535517052744,1,50,0,23.82,5.750826027624206,21.0
10,42.82649120079733,5,50,0,156.2,45.54887484889171,10.5
20,12.406507709182028,0,100,0,34.42,11.33366666176485,21.0
5,16.083893202845193,2,50,0,53.44,12.725879144483496,5.25
20,24.132519460769373,1,100,0,67.66,18.68697407286691,20.9
10,35.81601030247383,5,50,20,370.15,535.7430385299779,10.5
20,26.033241306294716,0,50,0,126.22,72.4875989394048,20.6
10,33.81894824864628,5,200,0,366.88,515.5385262034255,10.5
50,9.68841831906485,1,100,0,29.88,9.119046002735155,52.4
5,45.6978525316266,1,50,0,130.8,43.69439323299959,5.19
10,25.315481373377384,0,50,0,83.3,34.566747026586114,10.4
5,44.63197450957389,5,50,20,136.0,46.66904755831214,5.23
20,19.864076169072263,1,100,0,52.36,16.618303162477208,21.0
20,37.023378487841306,2,200,0,96.67999999999999,32.45877385238081,20.9
5,24.703135243368077,1,200,0,86.78,33.99730871701465,5.25
5,37.991071100872226,1,50,0,109.86,43.182901708894,5.24
20,32.214961883446364,2,200,20,89.45,34.265093997633606,21.0
50,18.16855891818368,2,200,0,55.46,14.978083989616295,52.4
10,36.68756903397589,0,50,0,101.4,34.168918624972605,10.5
20,31.523679015756272,0,100,0,91.08,21.236219060840373,20.9
50,38.747979917444624,2,50,0,115.32,39.21367108547732,52.2
5,33.94445001806395,0,100,0,113.0,40.19023513242987,5.24
50,43.849811601071174,1,100,0,121.64,39.37572856468817,52.3
20,36.56815388712572,5,100,0,153.24,78.05631300541936,21.0
50,48.75353463137932,0,50,0,158.6,52.75225113679984,52.4
10,14.240556879102257,5,100,20,40.675,2.800446392988091,10.5
10,29.374557293359615,0,100,0,130.26,27.727026526477736,10.5
50,33.672110680886526,1,50,0,91.3,28.110674129234255,52.4
10,19.167104687114175,1,200,0,66.28,28.223518561653506,10.5
5,31.64789251297036,1,50,0,138.26,63.31143656560006,5.25
5,46.262151993400224,0,50,0,131.04,56.17568869181757,5.24
5,8.51475835022116,5,100,0,60.86,43.46421516604205,5.25
5,10.75388970686721,0,200,0,35.26,10.889582177475866,5.24
10,7.418086220289027,0,100,0,26.240000000000002,7.722564340942716,10.5
20,23.312313262249184,2,200,0,65.2,19.652989594461197,20.9
20,45.27118738250278,1,200,0,120.52,41.826271648331264,20.9
5,46.83445943670607,2,200,0,230.8,70.01571252226174,5.14
5,7.1888242173831145,0,100,0,39.66,40.02565427322831,5.25
